iter	Passed	Remaining
0	2	424
1	4	438
2	7	471
3	10	452
4	12	450
5	15	443
6	17	435
7	19	427
8	23	444
9	25	441
10	28	445
11	31	443
12	33	436
13	36	430
14	39	439
15	42	433
16	44	427
17	46	422
18	48	414
19	50	407
20	53	408
21	56	402
22	57	394
23	59	387
24	61	382
25	63	377
26	65	371
27	67	365
28	70	366
29	72	360
30	73	355
31	75	350
32	77	345
33	79	341
34	81	336
35	83	332
36	86	332
37	88	328
38	90	327
39	92	324
40	94	319
41	96	316
42	98	312
43	100	309
44	102	307
45	104	304
46	106	300
47	108	297
48	109	294
49	111	290
50	113	287
51	115	284
52	118	284
53	120	281
54	123	279
55	125	276
56	126	273
57	128	270
58	130	267
59	134	268
60	136	265
61	137	262
62	139	259
63	141	256
64	143	253
65	145	250
66	147	248
67	150	247
68	152	245
69	154	242
70	156	239
71	157	236
72	159	234
73	161	231
74	164	230
75	166	228
76	169	226
77	171	223
78	172	221
79	174	218
80	176	215
81	178	213
82	181	211
83	183	209
84	185	206
85	186	204
86	188	201
87	190	199
88	192	196
89	195	195
90	197	193
91	199	190
92	201	188
93	203	185
94	204	183
95	206	180
96	208	178
97	211	176
98	213	175
99	216	173
100	218	171
101	220	168
102	222	166
103	224	164
104	227	162
105	229	160
106	231	158
107	233	155
108	235	153
109	237	150
110	239	148
111	241	146
112	244	144
113	246	142
114	248	140
115	250	138
116	252	135
117	254	133
118	256	131
119	258	129
120	260	127
121	262	124
122	264	122
123	266	120
124	268	118
125	270	115
126	272	113
127	275	111
128	277	109
129	279	107
130	281	105
131	283	103
132	285	100
133	287	98
134	288	96
135	291	94
136	293	92
137	295	89
138	297	87
139	299	85
140	300	83
141	302	81
142	304	78
143	307	76
144	309	74
145	312	72
146	314	70
147	316	68
148	318	66
149	319	63
150	323	62
151	325	59
152	326	57
153	329	55
154	330	53
155	332	51
156	334	49
157	336	46
158	339	44
159	341	42
160	343	40
161	345	38
162	347	36
163	348	34
164	350	31
165	353	29
166	355	27
167	357	25
168	358	23
169	360	21
170	362	19
171	364	16
172	366	14
173	370	12
174	372	10
175	374	8
176	376	6
177	378	4
178	380	2
179	382	0
